policy,Service_Level,Total_Order_Qty,Order_Cycles,Constraint_Applied_Count,Avg_Ending_Inventory,Total_Shortage,Total_Demand,Stockout_Rate,Fill_Rate,Lead_Time_Days,Review_Period_Days,Evaluation_Start,Evaluation_End,Evaluation_Days
기존 7일 평균 판매량,58.34482758620689,692248.0,7625,0,53.882183908045974,212382.0,898491.0,41.65517241379311,76.36236756962506,4,1,2023-11-01,2024-01-26,87
누적수요 V2 P90,91.82758620689656,884371.0,8308,0,104.97241379310344,32389.0,898491.0,8.172413793103445,96.3951781375662,4,1,2023-11-01,2024-01-26,87
누적수요 V2 P95,94.09195402298852,895074.0,8245,0,144.99402298850575,27926.0,898491.0,5.908045977011483,96.8918998632151,4,1,2023-11-01,2024-01-26,87
