Policy,Evaluation_Type,Service_Level,Stockout_Rate,Fill_Rate,Avg_Order_Qty_All_SKUDays,Total_Order_Qty,Avg_Remaining,Total_Remaining,Total_Shortage
기존 7일 평균 판매량,"Static, zero lead time",87.62637362637362,12.373626373626372,95.77860963930164,2.326923076923077,21175,201.46296703296704,1833313,39740
V2 P90,"Static, zero lead time",97.50549450549451,2.4945054945054945,99.82472838210488,7.993076923076923,72737,202.9434065934066,1846785,1650
V2 P95 Fixed,"Static, zero lead time",98.61538461538461,1.3846153846153846,99.89929848862754,12.151538461538461,110579,207.02472527472528,1883925,948
